index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops
9663,Akasa Air,2019-03-04,Varanasi,Mumbai,VAR-PAT-BHU-KOL-MUM,19:58,13:30,7h 30min,3 stops
9664,Air India,2022-11-19,Guwahati,Bhubaneswar,GUW-IND-BHU,22:30,22:05,12h 45min,1 stop
9665,Akasa Air,2025-06-03,Hyderabad,Indore,HYD-VAR-IND,14:25,05:06,2h 30min,1 stop
9666,TruJet,2019-10-09,Guwahati,Ahmedabad,GUW-AHM,03:28,07:59,10h 45min,non-stop
9667,AirAsia India,2024-06-02,Ahmedabad,Delhi,AHM-DEL,18:31,10:58,9h 15min,non-stop
9668,Air India,2025-02-02,Pune,Bangalore,PUN-GOA-BAN,20:08,22:31,4h 0min,1 stop
9669,SpiceJet,2022-04-20,Ahmedabad,Patna,AHM-SUR-VAR-KOL-PAT,03:31,08:45,9h 30min,3 stops
9670,Vistara,2025-10-25,Ahmedabad,Mumbai,AHM-JAI-RAI-MUM,13:20,02:57,7h 30min,2 stops
9671,Air India,2025-12-05,Pune,Lucknow,PUN-LUC,17:46,08:02,13h 30min,non-stop
9672,Vistara,2025-01-23,Ahmedabad,Cochin,AHM-COC,09:32,06:12,5h 15min,non-stop
9673,Vistara,2019-09-01,Goa,Indore,GOA-IND,03:55,06:14,10h 15min,non-stop
9674,GoAir,2024-12-20,Kolkata,Lucknow,KOL-BHU-AHM-LUC,13:23,19:17,2h 0min,2 stops
9675,Alliance Air,2023-12-11,Nagpur,Mumbai,NAG-BHU-HYD-MUM,23:40,03:04,7h 0min,2 stops
9676,AirAsia India,2019-01-06,Guwahati,Lucknow,GUW-PAT-RAI-LUC,04:42,10:33,10h 45min,2 stops
9677,SpiceJet,2019-02-25,Ahmedabad,Jaipur,AHM-KOL-BHU-VAR-JAI,19:47,21:07,6h 30min,3 stops
9678,TruJet,2022-08-21,Varanasi,Delhi,VAR-SUR-DEL,09:00,13:30,6h 15min,1 stop
9679,IndiGo,2019-04-17,Goa,Varanasi,GOA-KOL-GUW-VAR,09:57,17:35,9h 45min,2 stops
9680,Vistara,2019-12-04,Mumbai,Cochin,MUM-SUR-VAR-COC,10:58,21:14,7h 0min,2 stops
9681,IndiGo,2020-04-24,Nagpur,Chennai,NAG-AHM-CHE,17:20,06:18,3h 0min,1 stop
9682,AirAsia India,2019-04-24,Varanasi,Raipur,VAR-RAI,08:39,23:40,7h 30min,non-stop
9683,GoAir,2021-09-16,Kolkata,Patna,KOL-PUN-CHE-PAT,05:35,22:20,4h 0min,2 stops
9684,GoAir,2024-07-15,Indore,Nagpur,IND-SUR-BHU-MUM-NAG,05:03,16:17,6h 45min,3 stops
9685,TruJet,2019-01-25,Patna,Surat,PAT-BHU-SUR,16:32,17:06,10h 15min,1 stop
9686,SpiceJet,2021-01-02,Ahmedabad,Cochin,AHM-COC,21:08,08:37,3h 45min,non-stop
9687,TruJet,2021-06-11,Hyderabad,Bhubaneswar,HYD-IND-BAN-BHU,04:59,10:27,4h 45min,2 stops
9688,SpiceJet,2021-01-15,Delhi,Pune,DEL-PUN,19:11,12:28,13h 15min,non-stop
9689,TruJet,2024-06-09,Cochin,Delhi,COC-DEL,04:15,20:50,15h 30min,non-stop
9690,Vistara,2019-05-18,Patna,Indore,PAT-AHM-IND,21:11,22:27,12h 0min,1 stop
9691,IndiGo,2021-06-24,Hyderabad,Guwahati,HYD-GOA-GUW,01:59,12:45,6h 15min,1 stop
9692,Star Air,2024-08-05,Delhi,Pune,DEL-PAT-IND-MUM-PUN,07:40,23:04,14h 0min,3 stops
9693,TruJet,2021-10-05,Nagpur,Cochin,NAG-AHM-COC,12:26,05:39,9h 30min,1 stop
9694,IndiGo,2019-10-21,Cochin,Nagpur,COC-AHM-JAI-NAG,10:39,17:12,9h 15min,2 stops
9695,Akasa Air,2023-12-04,Surat,Nagpur,SUR-HYD-MUM-COC-NAG,08:55,12:17,4h 30min,3 stops
9696,GoAir,2023-07-01,Raipur,Patna,RAI-GUW-LUC-PAT,03:03,22:58,2h 45min,2 stops
9697,GoAir,2022-10-03,Varanasi,Goa,VAR-CHE-DEL-GOA,09:04,19:29,2h 45min,2 stops
9698,Alliance Air,2025-12-01,Patna,Goa,PAT-GOA,16:18,02:43,6h 45min,non-stop
9699,Vistara,2024-02-07,Patna,Raipur,PAT-VAR-RAI,21:22,09:51,11h 15min,1 stop
9700,Star Air,2019-09-06,Patna,Ahmedabad,PAT-COC-RAI-IND-AHM,08:48,13:28,7h 15min,3 stops
9701,TruJet,2019-11-06,Surat,Hyderabad,SUR-PAT-HYD,19:53,20:53,8h 45min,1 stop
9702,SpiceJet,2024-12-01,Kolkata,Ahmedabad,KOL-BHU-VAR-AHM,23:52,21:52,2h 0min,2 stops
9703,Alliance Air,2025-12-21,Pune,Patna,PUN-GUW-AHM-PAT,18:21,14:50,9h 45min,2 stops
9704,AirAsia India,2025-09-10,Pune,Hyderabad,PUN-HYD,22:29,15:34,5h 45min,non-stop
9705,Alliance Air,2022-08-10,Indore,Jaipur,IND-GOA-CHE-NAG-JAI,18:56,22:07,6h 45min,3 stops
9706,Akasa Air,2019-02-09,Mumbai,Guwahati,MUM-COC-HYD-GUW,20:55,05:23,14h 15min,2 stops
9707,Akasa Air,2022-03-17,Jaipur,Varanasi,JAI-COC-VAR,13:49,04:55,9h 0min,1 stop
9708,Star Air,2023-05-08,Raipur,Bangalore,RAI-AHM-BAN,04:15,23:47,2h 30min,1 stop
9709,SpiceJet,2019-06-20,Delhi,Nagpur,DEL-NAG,17:40,20:04,5h 15min,non-stop
9710,Alliance Air,2023-09-09,Delhi,Mumbai,DEL-SUR-AHM-JAI-MUM,19:23,00:33,10h 15min,3 stops
9711,SpiceJet,2019-12-25,Cochin,Chennai,COC-IND-RAI-CHE,13:14,13:02,1h 15min,2 stops
9712,Air India,2023-04-20,Pune,Bhubaneswar,PUN-JAI-BHU,14:11,16:32,7h 30min,1 stop
9713,Star Air,2020-05-14,Chennai,Cochin,CHE-COC,16:50,05:29,2h 45min,non-stop
9714,Akasa Air,2023-10-14,Mumbai,Nagpur,MUM-DEL-COC-PUN-NAG,10:19,00:49,2h 30min,3 stops
9715,IndiGo,2023-08-05,Goa,Nagpur,GOA-LUC-COC-NAG,12:20,10:28,3h 0min,2 stops
9716,IndiGo,2021-02-12,Lucknow,Cochin,LUC-NAG-KOL-COC,16:58,06:29,3h 45min,2 stops
9717,Air India,2024-06-01,Varanasi,Nagpur,VAR-NAG,07:04,13:08,3h 15min,non-stop
9718,Akasa Air,2020-02-15,Delhi,Guwahati,DEL-GUW,22:26,19:28,7h 15min,non-stop
9719,IndiGo,2022-04-23,Delhi,Ahmedabad,DEL-IND-AHM,15:41,17:31,6h 0min,1 stop
9720,Air India,2024-02-16,Hyderabad,Goa,HYD-COC-CHE-GOA,19:09,01:57,10h 15min,2 stops
9721,Alliance Air,2023-07-02,Pune,Kolkata,PUN-CHE-PAT-KOL,20:55,09:08,9h 0min,2 stops
9722,Alliance Air,2019-06-07,Delhi,Kolkata,DEL-VAR-RAI-KOL,02:09,03:47,4h 30min,2 stops
9723,IndiGo,2024-06-11,Lucknow,Nagpur,LUC-MUM-SUR-NAG,18:58,07:38,11h 45min,2 stops
9724,SpiceJet,2020-01-24,Ahmedabad,Mumbai,AHM-VAR-BAN-MUM,08:10,06:59,2h 30min,2 stops
9725,GoAir,2021-02-10,Jaipur,Kolkata,JAI-LUC-KOL,00:13,08:59,12h 0min,1 stop
9726,SpiceJet,2024-11-15,Bangalore,Varanasi,BAN-VAR,12:04,11:01,1h 45min,non-stop
9727,GoAir,2021-01-26,Jaipur,Bangalore,JAI-MUM-NAG-BAN,20:35,12:29,9h 0min,2 stops
9728,Star Air,2025-03-21,Lucknow,Indore,LUC-IND,02:18,11:49,14h 0min,non-stop
9729,Akasa Air,2024-07-15,Raipur,Ahmedabad,RAI-PAT-BHU-AHM,02:56,01:37,15h 30min,2 stops
9730,Alliance Air,2025-07-04,Nagpur,Pune,NAG-PUN,12:39,20:20,14h 30min,non-stop
9731,IndiGo,2024-11-14,Mumbai,Chennai,MUM-BAN-CHE,11:05,21:51,11h 45min,1 stop
9732,GoAir,2021-02-15,Bangalore,Jaipur,BAN-IND-BHU-JAI,03:58,08:21,9h 0min,2 stops
9733,Air India,2021-01-26,Hyderabad,Ahmedabad,HYD-IND-PUN-AHM,19:54,18:52,10h 30min,2 stops
9734,Star Air,2022-07-22,Jaipur,Pune,JAI-DEL-PUN,01:54,16:32,9h 0min,1 stop
9735,GoAir,2023-03-04,Jaipur,Bangalore,JAI-VAR-BAN,18:55,11:53,3h 0min,1 stop
9736,IndiGo,2020-04-28,Jaipur,Patna,JAI-NAG-GOA-SUR-PAT,18:40,10:16,4h 30min,3 stops
9737,Air India,2020-11-23,Bhubaneswar,Jaipur,BHU-PUN-VAR-BAN-JAI,18:34,06:43,7h 30min,3 stops
9738,AirAsia India,2021-08-24,Pune,Goa,PUN-LUC-HYD-GOA,19:29,02:01,6h 30min,2 stops
9739,Vistara,2025-09-10,Chennai,Indore,CHE-AHM-BAN-IND,23:30,05:12,9h 15min,2 stops
9740,GoAir,2020-04-06,Lucknow,Surat,LUC-PUN-CHE-KOL-SUR,10:15,19:14,3h 45min,3 stops
9741,TruJet,2025-05-19,Indore,Guwahati,IND-GOA-AHM-GUW,12:30,08:17,14h 0min,2 stops
9742,Air India,2025-09-13,Raipur,Pune,RAI-BAN-PUN,23:24,09:51,9h 30min,1 stop
9743,AirAsia India,2023-01-07,Goa,Bhubaneswar,GOA-BHU,20:28,05:53,14h 45min,non-stop
9744,TruJet,2020-05-21,Kolkata,Delhi,KOL-GUW-RAI-DEL,00:37,20:47,14h 0min,2 stops
9745,Vistara,2023-05-13,Hyderabad,Guwahati,HYD-COC-DEL-KOL-GUW,21:04,03:10,9h 0min,3 stops
9746,Vistara,2019-08-07,Bangalore,Lucknow,BAN-HYD-CHE-LUC,21:37,04:41,2h 0min,2 stops
9747,IndiGo,2019-11-11,Kolkata,Goa,KOL-NAG-GOA,21:28,08:52,1h 30min,1 stop
9748,SpiceJet,2024-08-02,Delhi,Jaipur,DEL-JAI,18:11,23:06,13h 30min,non-stop
9749,GoAir,2023-01-06,Ahmedabad,Delhi,AHM-DEL,02:03,09:45,10h 0min,non-stop
9750,Air India,2023-12-26,Chennai,Jaipur,CHE-BHU-JAI,14:25,15:05,7h 45min,1 stop
9751,GoAir,2020-03-12,Hyderabad,Goa,HYD-JAI-PAT-NAG-GOA,01:43,00:50,9h 30min,3 stops
9752,Vistara,2020-07-04,Pune,Goa,PUN-IND-GOA,22:39,21:19,12h 0min,1 stop
9753,Akasa Air,2020-09-06,Hyderabad,Chennai,HYD-CHE,20:19,10:20,7h 15min,non-stop
9754,Akasa Air,2019-09-06,Mumbai,Bhubaneswar,MUM-BHU,15:37,23:27,2h 15min,non-stop
9755,Alliance Air,2023-09-25,Surat,Ahmedabad,SUR-NAG-AHM,11:57,11:29,10h 30min,1 stop
9756,Air India,2023-06-28,Bhubaneswar,Ahmedabad,BHU-AHM,19:08,07:55,1h 30min,non-stop
9757,Akasa Air,2020-09-03,Mumbai,Varanasi,MUM-VAR,04:28,16:35,3h 15min,non-stop
9758,GoAir,2021-07-11,Chennai,Indore,CHE-VAR-BAN-NAG-IND,06:26,13:29,8h 30min,3 stops
9759,IndiGo,2020-06-12,Guwahati,Pune,GUW-PUN,16:07,15:29,14h 15min,non-stop
9760,TruJet,2024-04-18,Bhubaneswar,Lucknow,BHU-RAI-LUC,18:25,07:46,9h 45min,1 stop
9761,Air India,2025-10-16,Mumbai,Pune,MUM-GOA-DEL-PUN,05:53,23:29,12h 15min,2 stops
9762,GoAir,2025-12-17,Nagpur,Delhi,NAG-GOA-DEL,02:52,09:05,8h 30min,1 stop
9763,AirAsia India,2024-10-11,Chennai,Raipur,CHE-IND-RAI,13:04,21:20,9h 0min,1 stop
9764,SpiceJet,2020-08-15,Lucknow,Indore,LUC-KOL-HYD-IND,23:01,17:52,15h 45min,2 stops
9765,IndiGo,2025-11-26,Raipur,Surat,RAI-KOL-GOA-SUR,02:42,22:54,15h 30min,2 stops
9766,Akasa Air,2025-05-25,Bhubaneswar,Patna,BHU-DEL-NAG-PAT,05:25,13:14,4h 0min,2 stops
9767,Vistara,2022-07-09,Jaipur,Kolkata,JAI-BHU-KOL,07:36,11:56,12h 15min,1 stop
9768,GoAir,2023-01-10,Mumbai,Ahmedabad,MUM-AHM,11:23,17:29,8h 45min,non-stop
9769,Vistara,2022-06-11,Goa,Bhubaneswar,GOA-BHU,17:04,03:33,2h 15min,non-stop
9770,Akasa Air,2022-01-20,Patna,Hyderabad,PAT-HYD,13:32,05:24,10h 0min,non-stop
9771,AirAsia India,2024-09-05,Chennai,Lucknow,CHE-KOL-HYD-LUC,20:41,11:52,4h 0min,2 stops
9772,Alliance Air,2025-03-01,Surat,Nagpur,SUR-RAI-NAG,18:51,06:35,11h 30min,1 stop
9773,IndiGo,2025-06-04,Hyderabad,Mumbai,HYD-DEL-MUM,04:18,15:46,6h 30min,1 stop
9774,Vistara,2020-09-13,Nagpur,Hyderabad,NAG-HYD,02:38,20:04,8h 30min,non-stop
9775,Star Air,2021-08-10,Bhubaneswar,Patna,BHU-CHE-RAI-PAT,01:59,00:51,15h 15min,2 stops
9776,SpiceJet,2021-09-23,Delhi,Varanasi,DEL-IND-RAI-GUW-VAR,10:16,10:52,11h 45min,3 stops
9777,Akasa Air,2024-03-17,Nagpur,Patna,NAG-PAT,17:19,11:15,2h 15min,non-stop
9778,IndiGo,2024-11-12,Patna,Jaipur,PAT-COC-GUW-GOA-JAI,05:00,21:05,12h 15min,3 stops
9779,IndiGo,2023-07-01,Goa,Indore,GOA-PAT-VAR-IND,14:33,01:38,3h 30min,2 stops
9780,SpiceJet,2021-03-22,Raipur,Kolkata,RAI-NAG-BAN-COC-KOL,14:19,06:03,10h 30min,3 stops
9781,AirAsia India,2019-01-17,Surat,Bangalore,SUR-RAI-GOA-BAN,02:37,18:58,11h 45min,2 stops
9782,AirAsia India,2024-08-08,Raipur,Bhubaneswar,RAI-HYD-GUW-BHU,04:56,00:19,15h 15min,2 stops
9783,Akasa Air,2022-03-21,Lucknow,Surat,LUC-COC-SUR,11:32,03:59,7h 45min,1 stop
9784,SpiceJet,2019-09-21,Chennai,Ahmedabad,CHE-GUW-BAN-VAR-AHM,05:53,19:52,5h 0min,3 stops
9785,GoAir,2023-12-23,Mumbai,Jaipur,MUM-PAT-JAI,02:32,23:46,9h 45min,1 stop
9786,Star Air,2021-06-18,Kolkata,Ahmedabad,KOL-MUM-DEL-AHM,19:43,03:55,15h 30min,2 stops
9787,IndiGo,2020-03-15,Hyderabad,Chennai,HYD-GOA-IND-CHE,01:39,10:51,10h 30min,2 stops
9788,IndiGo,2024-06-01,Goa,Varanasi,GOA-AHM-PUN-HYD-VAR,20:32,10:58,3h 0min,3 stops
9789,GoAir,2020-03-03,Nagpur,Surat,NAG-COC-SUR,21:48,15:42,7h 30min,1 stop
9790,GoAir,2020-07-03,Hyderabad,Delhi,HYD-LUC-DEL,07:53,05:44,12h 30min,1 stop
9791,TruJet,2019-09-20,Jaipur,Hyderabad,JAI-LUC-PAT-HYD,14:51,10:23,3h 0min,2 stops
9792,AirAsia India,2024-02-14,Ahmedabad,Guwahati,AHM-LUC-KOL-GUW,11:22,03:21,3h 15min,2 stops
9793,AirAsia India,2020-07-17,Jaipur,Patna,JAI-MUM-PAT,07:29,05:54,10h 15min,1 stop
9794,Akasa Air,2024-05-16,Hyderabad,Cochin,HYD-PUN-BAN-COC,05:04,00:02,2h 30min,2 stops
9795,Star Air,2019-07-19,Raipur,Cochin,RAI-PAT-COC,04:55,21:11,11h 15min,1 stop
9796,Star Air,2021-01-01,Nagpur,Jaipur,NAG-PAT-PUN-HYD-JAI,05:01,16:49,1h 15min,3 stops
9797,Air India,2023-10-08,Indore,Patna,IND-BHU-PAT,14:22,13:50,1h 30min,1 stop
9798,IndiGo,2020-06-03,Kolkata,Goa,KOL-AHM-PAT-SUR-GOA,20:46,00:59,10h 45min,3 stops
9799,Vistara,2023-05-18,Nagpur,Hyderabad,NAG-SUR-PUN-GUW-HYD,22:35,07:25,6h 30min,3 stops
9800,Star Air,2021-01-10,Delhi,Nagpur,DEL-VAR-NAG,06:48,19:55,11h 0min,1 stop
9801,Vistara,2019-01-03,Chennai,Patna,CHE-AHM-PAT,20:23,15:45,9h 30min,1 stop
9802,Akasa Air,2021-09-06,Bhubaneswar,Delhi,BHU-AHM-DEL,23:22,07:14,13h 15min,1 stop
9803,Vistara,2025-02-16,Nagpur,Lucknow,NAG-PAT-LUC,16:33,21:04,5h 30min,1 stop
9804,TruJet,2025-01-24,Lucknow,Jaipur,LUC-HYD-VAR-RAI-JAI,15:13,19:59,7h 30min,3 stops
9805,Air India,2024-04-10,Cochin,Mumbai,COC-BHU-HYD-MUM,18:50,23:25,6h 30min,2 stops
9806,GoAir,2021-02-19,Goa,Guwahati,GOA-GUW,17:46,15:50,1h 0min,non-stop
9807,Air India,2023-12-18,Guwahati,Raipur,GUW-SUR-BHU-HYD-RAI,13:53,06:08,6h 30min,3 stops
9808,Alliance Air,2023-12-23,Ahmedabad,Pune,AHM-PUN,08:38,05:34,13h 45min,non-stop
9809,AirAsia India,2019-07-05,Goa,Raipur,GOA-JAI-RAI,21:09,12:34,3h 45min,1 stop
9810,Alliance Air,2020-05-02,Hyderabad,Varanasi,HYD-JAI-VAR,13:58,16:35,12h 30min,1 stop
9811,IndiGo,2025-01-26,Surat,Guwahati,SUR-RAI-PAT-CHE-GUW,05:52,07:08,11h 15min,3 stops
9812,IndiGo,2024-04-13,Pune,Surat,PUN-CHE-KOL-DEL-SUR,02:19,07:56,10h 45min,3 stops
9813,GoAir,2025-08-08,Lucknow,Nagpur,LUC-PAT-NAG,01:52,03:26,9h 0min,1 stop
9814,Star Air,2020-03-16,Hyderabad,Surat,HYD-COC-MUM-NAG-SUR,08:46,13:27,15h 45min,3 stops
9815,Akasa Air,2025-03-20,Chennai,Pune,CHE-MUM-COC-PUN,06:13,21:16,11h 0min,2 stops
9816,SpiceJet,2023-09-04,Raipur,Hyderabad,RAI-GUW-PUN-HYD,11:59,16:53,12h 30min,2 stops
9817,IndiGo,2023-02-15,Pune,Bangalore,PUN-BAN,19:15,15:02,1h 45min,non-stop
9818,TruJet,2020-11-21,Hyderabad,Mumbai,HYD-RAI-BHU-MUM,04:13,09:53,3h 45min,2 stops
9819,Air India,2022-06-23,Goa,Guwahati,GOA-RAI-PAT-SUR-GUW,06:03,18:03,9h 15min,3 stops
9820,Star Air,2023-01-05,Guwahati,Goa,GUW-VAR-GOA,03:56,10:47,9h 15min,1 stop
9821,Air India,2023-08-10,Bangalore,Raipur,BAN-AHM-RAI,00:08,04:28,14h 15min,1 stop
9822,AirAsia India,2020-01-18,Pune,Mumbai,PUN-MUM,05:28,03:02,12h 0min,non-stop
9823,SpiceJet,2023-07-23,Indore,Guwahati,IND-BHU-GUW,15:25,02:54,3h 30min,1 stop
9824,SpiceJet,2024-12-22,Mumbai,Ahmedabad,MUM-AHM,23:33,15:52,15h 15min,non-stop
9825,Alliance Air,2022-03-14,Nagpur,Jaipur,NAG-KOL-GOA-BHU-JAI,12:26,14:34,12h 45min,3 stops
9826,IndiGo,2019-07-05,Goa,Ahmedabad,GOA-PAT-DEL-LUC-AHM,01:59,21:54,4h 0min,3 stops
9827,Alliance Air,2020-02-25,Varanasi,Mumbai,VAR-CHE-HYD-LUC-MUM,00:55,17:08,1h 30min,3 stops
9828,Alliance Air,2019-06-09,Delhi,Mumbai,DEL-MUM,21:01,21:44,15h 15min,non-stop
9829,TruJet,2020-02-16,Kolkata,Mumbai,KOL-HYD-COC-MUM,07:09,16:42,1h 30min,2 stops
9830,Alliance Air,2022-08-20,Pune,Lucknow,PUN-COC-BHU-LUC,10:14,20:23,2h 0min,2 stops
9831,Vistara,2024-06-19,Goa,Delhi,GOA-CHE-PAT-DEL,13:18,06:08,12h 30min,2 stops
9832,Air India,2020-12-06,Pune,Mumbai,PUN-GOA-DEL-JAI-MUM,04:54,03:13,5h 45min,3 stops
9833,IndiGo,2023-10-12,Kolkata,Hyderabad,KOL-HYD,21:09,01:08,3h 15min,non-stop
9834,AirAsia India,2025-02-18,Indore,Surat,IND-SUR,23:25,23:33,13h 0min,non-stop
9835,IndiGo,2021-09-07,Ahmedabad,Surat,AHM-COC-GUW-MUM-SUR,06:12,17:09,7h 0min,3 stops
9836,Air India,2021-09-13,Goa,Jaipur,GOA-IND-SUR-JAI,12:36,04:14,12h 0min,2 stops
9837,Vistara,2024-06-02,Varanasi,Kolkata,VAR-KOL,14:30,20:48,12h 45min,non-stop
9838,Alliance Air,2023-11-24,Varanasi,Guwahati,VAR-DEL-KOL-SUR-GUW,06:34,13:44,10h 45min,3 stops
9839,IndiGo,2023-09-16,Patna,Jaipur,PAT-JAI,09:12,09:15,11h 45min,non-stop
9840,GoAir,2021-04-04,Pune,Mumbai,PUN-NAG-IND-MUM,16:03,03:15,9h 30min,2 stops
9841,TruJet,2019-04-03,Delhi,Kolkata,DEL-COC-BHU-AHM-KOL,12:02,11:11,1h 15min,3 stops
9842,TruJet,2024-11-06,Jaipur,Raipur,JAI-RAI,01:54,20:48,14h 15min,non-stop
9843,IndiGo,2023-02-04,Jaipur,Patna,JAI-PAT,08:41,09:27,6h 30min,non-stop
9844,Alliance Air,2025-06-11,Goa,Pune,GOA-IND-PUN,01:15,22:47,6h 30min,1 stop
9845,AirAsia India,2023-03-27,Delhi,Cochin,DEL-COC,15:52,22:59,2h 30min,non-stop
9846,Air India,2023-06-24,Raipur,Lucknow,RAI-KOL-MUM-IND-LUC,23:00,23:30,3h 45min,3 stops
9847,Vistara,2024-12-15,Goa,Lucknow,GOA-LUC,21:01,13:07,8h 30min,non-stop
9848,AirAsia India,2025-01-17,Cochin,Nagpur,COC-NAG,05:29,20:19,9h 15min,non-stop
9849,IndiGo,2019-08-20,Delhi,Lucknow,DEL-MUM-LUC,23:01,08:26,11h 0min,1 stop
9850,SpiceJet,2023-05-04,Mumbai,Ahmedabad,MUM-AHM,17:26,12:22,11h 45min,non-stop
9851,Air India,2022-06-20,Lucknow,Ahmedabad,LUC-AHM,08:53,01:15,11h 15min,non-stop
9852,GoAir,2023-12-25,Cochin,Varanasi,COC-SUR-PUN-VAR,21:04,19:42,12h 45min,2 stops
9853,GoAir,2023-07-16,Hyderabad,Patna,HYD-JAI-CHE-DEL-PAT,08:31,09:02,12h 30min,3 stops
9854,SpiceJet,2022-03-16,Bangalore,Hyderabad,BAN-KOL-HYD,23:22,13:46,2h 0min,1 stop
9855,TruJet,2024-03-16,Surat,Bhubaneswar,SUR-BHU,21:59,14:48,8h 45min,non-stop
9856,GoAir,2019-06-23,Lucknow,Surat,LUC-SUR,17:05,03:57,12h 30min,non-stop
9857,Akasa Air,2022-11-26,Indore,Patna,IND-COC-PAT,03:15,12:17,12h 15min,1 stop
9858,Star Air,2020-10-06,Jaipur,Guwahati,JAI-KOL-SUR-HYD-GUW,06:16,22:43,8h 15min,3 stops
9859,AirAsia India,2024-06-11,Kolkata,Nagpur,KOL-BHU-AHM-COC-NAG,06:34,13:29,11h 15min,3 stops
9860,AirAsia India,2020-02-22,Bangalore,Ahmedabad,BAN-DEL-MUM-HYD-AHM,08:49,16:25,4h 0min,3 stops
9861,AirAsia India,2020-10-10,Bhubaneswar,Patna,BHU-KOL-PAT,10:54,09:25,9h 15min,1 stop
9862,Akasa Air,2022-06-08,Patna,Jaipur,PAT-JAI,19:18,23:21,12h 30min,non-stop
9863,Air India,2022-04-13,Mumbai,Patna,MUM-HYD-PAT,19:00,07:29,8h 30min,1 stop
9864,Star Air,2025-08-02,Patna,Ahmedabad,PAT-GUW-AHM,19:21,22:52,12h 0min,1 stop
9865,Akasa Air,2025-07-12,Lucknow,Patna,LUC-RAI-PAT,05:47,03:30,11h 45min,1 stop
9866,AirAsia India,2023-05-15,Surat,Patna,SUR-BAN-NAG-KOL-PAT,07:16,16:53,6h 0min,3 stops
9867,SpiceJet,2020-08-22,Raipur,Bhubaneswar,RAI-BHU,00:47,04:13,14h 0min,non-stop
9868,Akasa Air,2023-06-14,Ahmedabad,Hyderabad,AHM-PAT-PUN-JAI-HYD,13:06,10:29,3h 0min,3 stops
9869,Star Air,2024-09-14,Delhi,Goa,DEL-KOL-RAI-CHE-GOA,18:47,11:11,11h 30min,3 stops
9870,GoAir,2023-06-25,Ahmedabad,Delhi,AHM-DEL,10:00,08:21,12h 0min,non-stop
9871,TruJet,2020-08-07,Ahmedabad,Indore,AHM-NAG-JAI-IND,05:56,01:31,4h 30min,2 stops
9872,Star Air,2020-10-08,Pune,Mumbai,PUN-JAI-MUM,15:39,21:17,15h 45min,1 stop
9873,GoAir,2022-11-09,Nagpur,Lucknow,NAG-AHM-PUN-KOL-LUC,14:56,05:59,9h 45min,3 stops
9874,AirAsia India,2021-08-05,Cochin,Bangalore,COC-SUR-BAN,18:13,02:26,2h 45min,1 stop
9875,Air India,2024-09-15,Varanasi,Chennai,VAR-KOL-RAI-CHE,22:57,21:21,13h 30min,2 stops
9876,Vistara,2020-12-16,Raipur,Bhubaneswar,RAI-GOA-BHU,20:52,20:53,10h 15min,1 stop
9877,Star Air,2020-07-25,Ahmedabad,Patna,AHM-MUM-PAT,15:57,05:31,11h 0min,1 stop
9878,SpiceJet,2020-05-13,Raipur,Varanasi,RAI-JAI-PUN-NAG-VAR,06:49,11:22,7h 30min,3 stops
9879,AirAsia India,2022-10-28,Delhi,Goa,DEL-LUC-GOA,03:39,10:55,5h 15min,1 stop
9880,TruJet,2023-04-21,Lucknow,Ahmedabad,LUC-AHM,02:44,00:13,1h 30min,non-stop
9881,TruJet,2022-08-28,Surat,Delhi,SUR-BAN-RAI-DEL,02:05,07:47,13h 45min,2 stops
9882,IndiGo,2020-07-01,Lucknow,Delhi,LUC-DEL,08:00,22:13,11h 0min,non-stop
9883,IndiGo,2020-05-27,Varanasi,Indore,VAR-IND,19:56,23:58,4h 45min,non-stop
9884,Air India,2024-06-16,Indore,Jaipur,IND-NAG-JAI,19:44,04:53,10h 30min,1 stop
9885,Vistara,2021-12-05,Delhi,Pune,DEL-SUR-PUN,04:22,08:10,14h 45min,1 stop
9886,SpiceJet,2025-03-28,Indore,Surat,IND-DEL-NAG-VAR-SUR,23:55,15:31,10h 45min,3 stops
9887,Alliance Air,2020-12-23,Cochin,Surat,COC-HYD-AHM-SUR,06:38,08:02,10h 30min,2 stops
9888,Akasa Air,2021-02-19,Pune,Ahmedabad,PUN-AHM,05:29,11:05,6h 45min,non-stop
9889,Alliance Air,2020-04-05,Nagpur,Bhubaneswar,NAG-VAR-DEL-BHU,04:10,17:31,12h 30min,2 stops
9890,Alliance Air,2024-04-19,Patna,Surat,PAT-DEL-LUC-KOL-SUR,12:59,11:53,8h 0min,3 stops
9891,Alliance Air,2022-04-02,Bhubaneswar,Varanasi,BHU-LUC-SUR-VAR,17:56,21:22,14h 0min,2 stops
9892,Vistara,2020-09-06,Lucknow,Patna,LUC-MUM-CHE-NAG-PAT,17:28,16:52,15h 15min,3 stops
9893,Alliance Air,2025-02-04,Ahmedabad,Guwahati,AHM-VAR-JAI-LUC-GUW,12:28,08:04,11h 45min,3 stops
9894,Alliance Air,2022-08-21,Delhi,Cochin,DEL-IND-COC,05:19,21:22,12h 0min,1 stop
9895,IndiGo,2023-02-18,Lucknow,Goa,LUC-GOA,19:22,11:35,3h 15min,non-stop
9896,Akasa Air,2024-11-26,Guwahati,Delhi,GUW-BAN-DEL,13:34,01:54,9h 30min,1 stop
